Railroad Code,Incident Number,Grade Crossing ID,Date,Time,State Name,Highway User,Temperature,Visibility,Weather Condition,Number of Locomotive Units,Number of Cars
UP,0295SL003,167009A,1995-02-06,06:12 PM,ILLINOIS,Auto,18,Dusk,Cloudy,2,3
UP,0295SL004,438244X,1995-02-08,08:10 PM,ARKANSAS,Truck,40,Dark,Clear,2,32
UP,0295SL010,441408P,1995-02-13,12:07 PM,ARKANSAS,Auto,35,Day,Cloudy,11,5
UP,0295SL017,441531N,1995-02-25,06:00 PM,LOUISIANA,Truck,58,Dusk,Clear,2,114
UP,0295SL018,438078H,1995-02-26,10:20 AM,TENNESSEE,Truck,66,Day,Clear,1,34
UP,0295SL019,438099B,1995-02-27,10:00 AM,TENNESSEE,Auto,58,Day,Cloudy,1,14
UP,0295ST007,435440U,1995-02-08,11:31 PM,TEXAS,Truck,50,Dark,Clear,2,28
UP,0295VB004,795350M,1995-02-04,09:14 AM,TEXAS,Truck,68,Day,Clear,3,88
UP,0295VB005,795311W,1995-02-05,05:16 PM,TEXAS,Auto,61,Day,Clear,3,120
UP,0295VB006,434425N,1995-02-05,04:25 PM,ARKANSAS,Auto,45,Day,Clear,2,56
UP,0295VB008,815076J,1995-02-04,11:10 PM,KANSAS,Auto,44,Dark,Clear,3,81
UP,0295VB009,795304L,1995-02-12,01:25 AM,TEXAS,Auto,28,Dark,Clear,3,115
UP,0295VB010,595032Y,1995-02-12,11:35 AM,KANSAS,Auto,20,Day,Snow,1,15
UP,0295VB011,814180A,1995-02-13,06:30 PM,KANSAS,Auto,35,Dark,Sleet,2,3
UP,0295VB012,596997L,1995-02-17,11:57 PM,OKLAHOMA,Auto,35,Dark,Clear,1,0
UP,0295VB014,413554V,1995-02-19,09:45 PM,OKLAHOMA,Auto,35,Dark,Clear,2,77
UP,0295VB015,596585Y,1995-02-20,04:45 PM,OKLAHOMA,Auto,70,Day,Clear,2,19
